[2021-09-14 10:37:21,504] - [root] - [INFO] - Lock acquired by Worker 0. (Master.py:40)
[2021-09-14 10:37:21,505] - [root] - [INFO] - Set result. Username: arashi87, judge: uva, problem: 1595, result: NE (Master.py:47)
[2021-09-14 10:37:21,505] - [root] - [INFO] - Lock released by Worker 0. (Master.py:50)
[2021-09-14 10:37:21,505] - [root] - [INFO] - Worker 0 Done. (Master.py:73)
[2021-09-14 10:37:21,540] - [root] - [INFO] - Successfully Get Submissions. (UVa_Crawler.py:49)
[2021-09-14 10:37:21,541] - [root] - [INFO] - Successfully Get Status. #UVa1585 #1002251 #AC. (UVa_Crawler.py:90)
[2021-09-14 10:37:21,541] - [root] - [INFO] - Lock acquired by Worker 1. (Master.py:40)
[2021-09-14 10:37:21,541] - [root] - [INFO] - Set result. Username: arashi87, judge: uva, problem: 1585, result: AC (Master.py:47)
[2021-09-14 10:37:21,542] - [root] - [INFO] - Lock released by Worker 1. (Master.py:50)
[2021-09-14 10:37:21,542] - [root] - [INFO] - Worker 1 Done. (Master.py:73)
[2021-09-14 10:37:21,542] - [root] - [INFO] - Worker 2 Done. (Master.py:73)
[2021-09-14 10:37:21,542] - [root] - [INFO] - Worker 3 Done. (Master.py:73)
[2021-09-14 10:37:21,542] - [root] - [INFO] - Worker 4 Done. (Master.py:73)
[2021-09-14 10:37:21,542] - [root] - [INFO] - Worker 5 Done. (Master.py:73)
[2021-09-14 10:37:21,542] - [root] - [INFO] - Worker 6 Done. (Master.py:73)
[2021-09-14 10:37:21,543] - [root] - [INFO] - Worker 7 Done. (Master.py:73)
[2021-09-14 10:37:21,543] - [root] - [INFO] - Worker 8 Done. (Master.py:73)
[2021-09-14 10:37:21,543] - [root] - [INFO] - Worker 9 Done. (Master.py:73)
[2021-09-14 10:37:21,543] - [root] - [INFO] - All Workers Done. (Master.py:75)
[2021-09-14 10:37:39,939] - [root] - [INFO] - Start Worker 0 (Master.py:68)
[2021-09-14 10:37:39,939] - [root] - [INFO] - #UserID: 1002251 #ProblemNum: 1595. (UVa_Crawler.py:21)
[2021-09-14 10:37:39,939] - [root] - [INFO] - Start Worker 1 (Master.py:68)
[2021-09-14 10:37:39,940] - [root] - [INFO] - Fetching ProblemID ... (UVa_Crawler.py:26)
[2021-09-14 10:37:39,940] - [root] - [INFO] - #UserID: 1002251 #ProblemNum: 1585. (UVa_Crawler.py:21)
[2021-09-14 10:37:39,940] - [root] - [INFO] - Start Worker 2 (Master.py:68)
[2021-09-14 10:37:39,941] - [root] - [INFO] - Fetching ProblemID ... (UVa_Crawler.py:26)
[2021-09-14 10:37:39,941] - [root] - [INFO] - #UserID: 1002251 #ProblemNum: 1586. (UVa_Crawler.py:21)
